利用日,注文ID,利用項目,備考,金額（税抜き）,消費税,金額（税込）
2022/06/28,az-market-10111596,PayPay決済金額,,5276,0,5276
2022/06/28,az-market-10111592,PayPay決済金額,,1490,0,1490
2022/06/28,az-market-10111490,PayPay決済金額,,4034,0,4034
2022/06/28,az-market-10111485,ワイジェイカード・PayPayカード決済金額,,2490,0,2490
2022/06/28,az-market-10111602,特典の一部利用料,,106,0,106
2022/06/28,az-market-10111612,モールクーポン利用料,,1500,0,1500
2022/06/28,az-market-10111606,モールクーポン利用料,,500,0,500
2022/06/28,az-market-10111593,モールクーポン利用料,,1290,0,1290
2022/06/28,az-market-10111592,モールクーポン利用料,,1489,0,1489
2022/06/27,az-market-10111557,ワイジェイカード・PayPayカード決済金額,,3036,0,3036
2022/06/27,az-market-10111556,ワイジェイカード・PayPayカード決済金額,,3780,0,3780
2022/06/27,az-market-10111555,ワイジェイカード・PayPayカード決済金額,,2490,0,2490
2022/06/27,az-market-10111550,PayPay決済金額,,3580,0,3580
2022/06/27,az-market-10111541,PayPay決済金額,,2490,0,2490
2022/06/27,az-market-10111540,PayPay決済金額,,3880,0,3880
2022/06/27,az-market-10111538,PayPay決済金額,,3580,0,3580
2022/06/27,az-market-10111536,ワイジェイカード・PayPayカード決済金額,,2970,0,2970
2022/06/27,az-market-10111529,PayPay決済金額,,2017,0,2017
2022/06/27,az-market-10111527,PayPayあと払い決済金額,,2017,0,2017
2022/06/27,az-market-10111518,PayPay決済金額,,2490,0,2490
2022/06/27,az-market-10111508,PayPay決済金額,,126500,0,126500
2022/06/27,az-market-10111507,PayPay決済金額,,3545,0,3545
2022/06/27,az-market-10111502,PayPayあと払い決済金額,,3480,0,3480
2022/06/27,az-market-10111590,ワイジェイカード・PayPayカード決済金額,,2080,0,2080
2022/06/27,az-market-10111589,PayPay決済金額,,3580,0,3580
2022/06/27,az-market-10111588,ゆっくり払い決済金額,,2017,0,2017
2022/06/27,az-market-10111576,PayPayあと払い決済金額,,3880,0,3880
2022/06/27,az-market-10111572,PayPay決済金額,,2017,0,2017
2022/06/27,az-market-10111571,ワイジェイカード・PayPayカード決済金額,,2880,0,2880
2022/06/27,az-market-10111571,PayPay決済金額,,1000,0,1000
2022/06/27,az-market-10111570,ワイジェイカード・PayPayカード決済金額,,2017,0,2017
2022/06/27,az-market-10111567,PayPay決済金額,,2017,0,2017
2022/06/27,az-market-10111563,PayPay決済金額,,3880,0,3880
2022/06/27,az-market-10111560,PayPay決済金額,,3780,0,3780
2022/06/27,az-market-10111559,PayPay決済金額,,2490,0,2490
2022/06/27,az-market-10111553,PayPay決済金額,,3880,0,3880
2022/06/27,az-market-10111535,PayPay決済金額,,2979,0,2979
2022/06/27,az-market-10111534,PayPay決済金額,,1915,0,1915
2022/06/27,az-market-10111531,PayPayあと払い決済金額,,2017,0,2017
2022/06/27,az-market-10111526,PayPay決済金額,,3880,0,3880
2022/06/27,az-market-10111523,PayPay決済金額,,2017,0,2017
2022/06/27,az-market-10111522,PayPay決済金額,,2017,0,2017
2022/06/27,az-market-10111519,PayPay決済金額,,7090,0,7090
2022/06/27,az-market-10111512,ワイジェイカード・PayPayカード決済金額,,2017,0,2017
2022/06/27,az-market-10111511,PayPay決済金額,,3480,0,3480
2022/06/27,az-market-10111483,ワイジェイカード・PayPayカード決済金額,,2490,0,2490
2022/06/27,az-market-10111480,ワイジェイカード・PayPayカード決済金額,,10773,0,10773
2022/06/27,az-market-10111469,ワイジェイカード・PayPayカード決済金額,,4280,0,4280
2022/06/27,az-market-10111468,PayPay決済金額,,2017,0,2017
2022/06/27,az-market-10111467,ワイジェイカード・PayPayカード決済金額,,52250,0,52250
2022/06/27,az-market-10111475,ワイジェイカード・PayPayカード決済金額,,2490,0,2490
2022/06/27,az-market-10111501,PayPay決済金額,,3880,0,3880
2022/06/27,az-market-10111494,PayPay決済金額,,3080,0,3080
2022/06/27,az-market-10111492,PayPay決済金額,,1380,0,1380
2022/06/27,az-market-10111491,PayPay決済金額,,417,0,417
2022/06/27,az-market-10111484,ワイジェイカード・PayPayカード決済金額,,3580,0,3580
2022/06/27,az-market-10111479,カード決済金額,,34100,0,34100
2022/06/27,az-market-10111478,ワイジェイカード・PayPayカード決済金額,,3880,0,3880
2022/06/27,az-market-10111477,PayPay決済金額,,3580,0,3580
2022/06/27,az-market-10111476,PayPay決済金額,,3880,0,3880
2022/06/27,az-market-10111470,ワイジェイカード・PayPayカード決済金額,,3580,0,3580
2022/06/27,az-market-10111466,ワイジェイカード・PayPayカード決済金額,,2970,0,2970
2022/06/27,az-market-10111463,ワイジェイカード・PayPayカード決済金額,,4680,0,4680
2022/06/27,az-market-10111462,ワイジェイカード・PayPayカード決済金額,,3780,0,3780
2022/06/27,az-market-10111461,ワイジェイカード・PayPayカード決済金額,,1517,0,1517
